ID,UID,FID,PID,SB,TB,TR,DR,Status
Field Aggregate A-01,047a50d2a51c91,01,Brownson 200.1.1,KZ,KZ,"Gradation, Atterberg","March 16, 2025 06:44 PM",Received
Cold Feed Gradation 1-01,047751d2a51c91,01,Lander HW 287 North,KZ,KZ,"Gradation, Fractured Face","March 16, 2025 07:04 PM",In Progress
